,Customer Care Address,Manufacturer,discount,image,productname,selling_price,stylist_notes,sub_category,Colour,Design,Design Length,Design Width,Gross Weight,Material,Sales Package,Surface Finish,Theme,Width,Length,Age Group,Alarm Clock,Case Color,Case Material,Case Shape,Dial Color,Disclamer,Gender,Glass Material,Strap Color,Strap Material,Warranty,Warranty Instructions,Warranty Time,Earring Length,Earring Width,Gemstone Colour,Necklace Length,Chain Length,Pendant Length,Pendant Width,Necklace Width,Size,Stone Weight,Gold Weight,Stone-Weight,Diamond Weight,Hath Phool Bracelet Length,Hath Phool Design Length,Hath Phool Design Width,Hath Phool Length,Hath Phool Ring Design Length,Hath Phool Ring Design Width,Long Necklace Design Length,Long Necklace Design Width,Long Necklace Length,Long Necklace Pendant Length,Long Necklace Pendant Width,Maang Tika Design Length,Small Necklace Design Length,Small Necklace Diameter,Small Necklace Length,Small Necklace Pendant Length,Small Necklace Pendant Width,Small Necklace Width,Maang Tika Chain Length,Maang Tika Side Chain Length,Small Necklace Design Width,Diameter
0,"Voylla Fashions Pvt Ltd J 449-450., RIICO Industrial Area Sitapura Near Chatrala Circle Jaipur, Rajasthan-302022; Phone: +91 76761 11022; Email: help@voylla.com","Voylla Fashions Pvt Ltd, Address: J 449-450., RIICO Industrial Area Sitapura Near Chatrala Circle Jaipur, Rajasthan-302022; Phone: +91 76761 11022; Email: help@voylla.com",1600.0,"['https://images.voylla.com/i/1004168/large/hair-accessories-not-to-be-sold-individually-mnjai64910-ms-20201209-10674-957l6h.jpg', 'https://images.voylla.com/voylla_iso_cert_13_08_19.jpg', 'https://images.voylla.com/voylla_store_map_13_08_19.jpg']",Hair Accessories - not to be sold individually,1549.0,Hair Accessories Products - not to be sold individually,Hair Accessories,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,"Voylla Fashions Pvt Ltd J 449-450., RIICO Industrial Area Sitapura Near Chatrala Circle Jaipur, Rajasthan-302022; Phone: +91 76761 11022; Email: help@voylla.com","Voylla Fashions Pvt Ltd, Address: J 449-450., RIICO Industrial Area Sitapura Near Chatrala Circle Jaipur, Rajasthan-302022; Phone: +91 76761 11022; Email: help@voylla.com",1600.0,"['https://images.voylla.com/i/960195/large/southern-bling-temple-design-hair-accessory-stbom20226-ms-20200116-32639-1yhk0wi.jpg', 'https://images.voylla.com/i/960196/large/southern-bling-temple-design-hair-accessory-stbom20226-20200116-32639-1ejrtnt.jpg', 'https://images.voylla.com/i/960197/large/southern-bling-temple-design-hair-accessory-stbom20226-20200116-32639-yhqyr2.jpg', 'https://images.voylla.com/i/960198/large/southern-bling-temple-design-hair-accessory-stbom20226-20200116-32639-1lmr7of.jpg', 'https://images.voylla.com/i/960199/large/southern-bling-temple-design-hair-accessory-stbom20226-20200116-32639-1j0w71.jpg', 'https://images.voylla.com/i/960200/large/southern-bling-temple-design-hair-accessory-stbom20226-20200116-32639-rjx1y7.jpg', 'https://images.voylla.com/voylla_iso_cert_13_08_19.jpg', 'https://images.voylla.com/voylla_store_map_13_08_19.jpg']",Southern Bling Temple Design Hair Accessory,1549.0,"Temple design hair accessory with yellow gold plating. Made from brass and lightly embellished. Good for formal ethnic looks.
This piece of jewelry comes with the Voylla assurance of quality and durability. Caring for your fashion jewelry: We, at Voylla, take care of every piece of jewelry so that you don't spend hours caring for them. But do remember, fashion jewelry lasts longer when kept dry and free of chemicals. Follow this simple rule: Your jewelry should be the last thing you put on and the first thing you take off.",Hair Accessories,Gold,Geometric,6.02 cm (2.37 inches),9.65 cm (3.8 inches),37.3 gms,Brass,1 Hair Accessories,Textured,Classic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,"Voylla Fashions Pvt Ltd J 449-450., RIICO Industrial Area Sitapura Near Chatrala Circle Jaipur, Rajasthan-302022; Phone: +91 76761 11022; Email: help@voylla.com","Voylla Fashions Pvt Ltd, Address: J 449-450., RIICO Industrial Area Sitapura Near Chatrala Circle Jaipur, Rajasthan-302022; Phone: +91 76761 11022; Email: help@voylla.com",1600.0,"['https://images.voylla.com/i/884800/large/southern-bling-temple-inspired-hair-accessory-stbom20230-ms-20190821-18440-1mtz8zc.jpg', 'https://images.voylla.com/i/884801/large/southern-bling-temple-inspired-hair-accessory-stbom20230-20190821-18440-9nylcs.jpg', 'https://images.voylla.com/i/884802/large/southern-bling-temple-inspired-hair-accessory-stbom20230-20190821-18440-1ufqiqw.jpg', 'https://images.voylla.com/i/884803/large/southern-bling-temple-inspired-hair-accessory-stbom20230-20190821-18440-lr9pmj.jpg', 'https://images.voylla.com/i/884804/large/southern-bling-temple-inspired-hair-accessory-stbom20230-20190821-18440-oipv17.jpg', 'https://images.voylla.com/voylla_iso_cert_13_08_19.jpg', 'https://images.voylla.com/voylla_store_map_13_08_19.jpg']",Southern Bling Temple Inspired Hair Accessory,1549.0,"Temple inspired hair accessory fashioned out of brass. Yellow gold plated and faux pearls and CZ gems adorned. Match for formal ethnic looks as well as bridal attire.
This piece of jewelry comes with the Voylla assurance of quality and durability. Caring for your fashion jewelry: We, at Voylla, take care of every piece of jewelry so that you don't spend hours caring for them. But do remember, fashion jewelry lasts longer when kept dry and free of chemicals. Follow this simple rule: Your jewelry should be the last thing you put on and the first thing you take off.",Hair Accessories,Gold,Geometric,5.84 cm (2.3 inches),7.62 cm (3.0 inches),27.39 gms,Brass,1 Hair Accessories,Textured,Classic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,"Voylla Fashions Pvt Ltd J 449-450., RIICO Industrial Area Sitapura Near Chatrala Circle Jaipur, Rajasthan-302022; Phone: +91 76761 11022; Email: help@voylla.com","Voylla Fashions Pvt Ltd, Address: J 449-450., RIICO Industrial Area Sitapura Near Chatrala Circle Jaipur, Rajasthan-302022; Phone: +91 76761 11022; Email: help@voylla.com",1600.0,"['https://images.voylla.com/i/964876/large/modern-stretchable-head-band-for-women-radel20293-20200128-30022-10d5pgb.jpg', 'https://images.voylla.com/voylla_iso_cert_13_08_19.jpg', 'https://images.voylla.com/voylla_store_map_13_08_19.jpg']",Modern Stretchable Head Band For Women,1549.0,"Everyone will go green with envy when you wear this gorgeous head band. Featuring gold tone chain danglers & embellishment of sparkling CZ, this stretchable head band will be an invaluable addition to your collection.  
 
This piece of jewelry comes with the Voylla assurance of quality and durability.

Caring for your fashion jewelry: We, at Voylla, take care of every piece of jewelry so that you don't spend hours caring for them. But do remember, fashion jewelry lasts longer when kept dry and free of chemicals. Follow this simple rule: Your jewelry should be the last thing you put on and the first thing you take off. ",Hair Accessories,Gold,Geometric,,,12.98 gms,Alloy,1 Hair Accessories,Embellished,Classic,8.9 mm (0.35 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,"Voylla Fashions Pvt Ltd J 449-450., RIICO Industrial Area Sitapura Near Chatrala Circle Jaipur, Rajasthan-302022; Phone: +91 76761 11022; Email: help@voylla.com","Voylla Fashions Pvt Ltd, Address: J 449-450., RIICO Industrial Area Sitapura Near Chatrala Circle Jaipur, Rajasthan-302022; Phone: +91 76761 11022; Email: help@voylla.com",1600.0,"['https://images.voylla.com/i/923400/large/temple-inspired-goddess-motif-hair-accessory-stbom20227-ms-20191102-31219-wfgxp4.jpg', 'https://images.voylla.com/i/923401/large/temple-inspired-goddess-motif-hair-accessory-stbom20227-20191102-31219-1tv9ka.jpg', 'https://images.voylla.com/i/923402/large/temple-inspired-goddess-motif-hair-accessory-stbom20227-20191102-31219-vkfnui.jpg', 'https://images.voylla.com/i/923403/large/temple-inspired-goddess-motif-hair-accessory-stbom20227-20191102-31219-tbd1da.jpg', 'https://images.voylla.com/i/923404/large/temple-inspired-goddess-motif-hair-accessory-stbom20227-20191102-31219-fq9umd.jpg', 'https://images.voylla.com/i/923405/large/temple-inspired-goddess-motif-hair-accessory-stbom20227-20191102-31219-wkvx6n.jpg', 'https://images.voylla.com/voylla_iso_cert_13_08_19.jpg', 'https://images.voylla.com/voylla_store_map_13_08_19.jpg']",Temple Inspired Goddess Motif Hair Accessory,1549.0,"Goddess motif hair accessory inspired by temple jewelry. Faux pearl and CZ gems embellished and yellow gold plated. Crafted from brass. Good for formal ethnic looks.
This piece of jewelry comes with the Voylla assurance of quality and durability. Caring for your fashion jewelry: We, at Voylla, take care of every piece of jewelry so that you don't spend hours caring for them. But do remember, fashion jewelry lasts longer when kept dry and free of chemicals. Follow this simple rule: Your jewelry should be the last thing you put on and the first thing you take off.",Hair Accessories,Gold,Geometric,7.62 cm (3.0 inches),6.35 cm (2.5 inches),40.0 gms,Brass,1 Hair Accessories,Textured,Classic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,"Voylla Fashions Pvt Ltd J 449-450., RIICO Industrial Area Sitapura Near Chatrala Circle Jaipur, Rajasthan-302022; Phone: +91 76761 11022; Email: help@voylla.com","Voylla Fashions Pvt Ltd, Address: J 449-450., RIICO Industrial Area Sitapura Near Chatrala Circle Jaipur, Rajasthan-302022; Phone: +91 76761 11022; Email: help@voylla.com",1600.0,"['https://images.voylla.com/i/763833/large/trendy-beaded-hair-chain-combo-mnjai64087-20181124-32359-1904v3o.jpg', 'https://images.voylla.com/i/763834/large/trendy-beaded-hair-chain-combo-mnjai64087-20181124-32359-e7etgl.jpg', 'https://images.voylla.com/i/763835/large/trendy-beaded-hair-chain-combo-mnjai64087-20181124-32359-i8b4qp.jpg', 'https://images.voylla.com/i/763836/large/trendy-beaded-hair-chain-combo-mnjai64087-20181124-32359-6o8e3x.jpg', 'https://images.voylla.com/voylla_iso_cert_13_08_19.jpg', 'https://images.voylla.com/voylla_store_map_13_08_19.jpg']",Trendy Beaded Hair Chain Combo,1549.0,"Add a decorative look to your party ensemble with this trendy hair accessory. Adorned with multicoloured beads, this unique ornament can be paired with your hair for a sensational look. This piece of jewelry comes with the Voylla assurance of quality and durability. Caring for your fashion jewelry: We, at Voylla, take care of every piece of jewelry so that you don't spend hours caring for them. But do remember, fashion jewelry lasts longer when kept dry and free of chemicals. Follow this simple rule: Your jewelry should be the last thing you put on and the first thing you take off.",Hair Accessories,Silver,Geometric,,,,Alloy,3 Hair Accessories; ,Plain,Beaded,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,"Voylla Fashions Pvt Ltd J 449-450., RIICO Industrial Area Sitapura Near Chatrala Circle Jaipur, Rajasthan-302022; Phone: +91 76761 11022; Email: help@voylla.com","Voylla Fashions Pvt Ltd, Address: J 449-450., RIICO Industrial Area Sitapura Near Chatrala Circle Jaipur, Rajasthan-302022; Phone: +91 76761 11022; Email: help@voylla.com",1600.0,"['https://images.voylla.com/i/711708/large/chic-bun-pin-set-mnjai63780-20180711-25453-1a5bb0f.jpg', 'https://images.voylla.com/i/711709/large/chic-bun-pin-set-mnjai63780-20180711-25453-iy4zn1.jpg', 'https://images.voylla.com/i/711710/large/chic-bun-pin-set-mnjai63780-20180711-25453-1qinz8r.jpg', 'https://images.voylla.com/voylla_iso_cert_13_08_19.jpg', 'https://images.voylla.com/voylla_store_map_13_08_19.jpg']",Chic Bun Pin Set,1549.0,"Two pairs of jura pins in matte gold and oxidised black finish
This piece of jewelry comes with the Voylla assurance of quality and durability. Caring for your fashion jewelry: We, at Voylla, take care of every piece of jewelry so that you don't spend hours caring for them. But do remember, fashion jewelry lasts longer when kept dry and free of chemicals. Follow this simple rule: Your jewelry should be the last thing you put on and the first thing you take off.",Hair Accessories,Black,Geometric,,,,Alloy,4 Juda Pins; ,Embellished,Classic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,"Voylla Fashions Pvt Ltd J 449-450., RIICO Industrial Area Sitapura Near Chatrala Circle Jaipur, Rajasthan-302022; Phone: +91 76761 11022; Email: help@voylla.com","Voylla Fashions Pvt Ltd, Address: J 449-450., RIICO Industrial Area Sitapura Near Chatrala Circle Jaipur, Rajasthan-302022; Phone: +91 76761 11022; Email: help@voylla.com",1600.0,"['https://images.voylla.com/i/619498/large/attractive-combo-pack-of-hair-pins-mnjai63343-20180121-24973-1rj68ck.jpg', 'https://images.voylla.com/i/619499/large/attractive-combo-pack-of-hair-pins-mnjai63343-20180121-24973-xk7q1.jpg', 'https://images.voylla.com/i/619500/large/attractive-combo-pack-of-hair-pins-mnjai63343-20180121-24973-pbfht4.jpg', 'https://images.voylla.com/voylla_iso_cert_13_08_19.jpg', 'https://images.voylla.com/voylla_store_map_13_08_19.jpg']",Attractive Combo Pack of Hair Pins,1549.0,,Hair Accessories,Silver,Geometric,,,,Alloy,2 Hair Accessories; ,Plain,Beaded,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,"Voylla Fashions Pvt Ltd J 449-450., RIICO Industrial Area Sitapura Near Chatrala Circle Jaipur, Rajasthan-302022; Phone: +91 76761 11022; Email: help@voylla.com","Voylla Fashions Pvt Ltd, Address: J 449-450., RIICO Industrial Area Sitapura Near Chatrala Circle Jaipur, Rajasthan-302022; Phone: +91 76761 11022; Email: help@voylla.com",1600.0,"['https://images.voylla.com/i/1005431/large/stylish-snap-on-cocktail-clips-4-jhbom20328-20210131-13144-n7pqdg.jpg', 'https://images.voylla.com/voylla_iso_cert_13_08_19.jpg', 'https://images.voylla.com/voylla_store_map_13_08_19.jpg']",Stylish Snap-On Cocktail Clips,1549.0,Stylish Snap-On Cocktail Clips,Hair Accessories,Yellow,Geometric,,,6.65 gms,Plastic,2 Hair Clips,Engraved,Classic,19.1 mm (0.75 inches),5.33 cm (2.1 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,"Voylla Fashions Pvt Ltd J 449-450., RIICO Industrial Area Sitapura Near Chatrala Circle Jaipur, Rajasthan-302022; Phone: +91 76761 11022; Email: help@voylla.com","Voylla Fashions Pvt Ltd, Address: J 449-450., RIICO Industrial Area Sitapura Near Chatrala Circle Jaipur, Rajasthan-302022; Phone: +91 76761 11022; Email: help@voylla.com",1600.0,"['https://images.voylla.com/i/1005218/large/white-rose-black-hair-band-jpbom20951-20210127-18937-nee5q5.jpg', 'https://images.voylla.com/voylla_iso_cert_13_08_19.jpg', 'https://images.voylla.com/voylla_store_map_13_08_19.jpg']",White Rose Black Hair Band ,1549.0,White Rose Black Hair Band ,Hair Accessories,White,Geometric,,,3.48 gms,Fabric,1 Hair Band,Plain,Classic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
